page 2	MANY conjectures have naturally been indulged in since the arrival of our new Governor as to the views he will take on the various public questions in this Colony that are still sur le tap's.
page 3	Police Intelligence.
page 3	LARCENY.
page 3	PUBLIC GAMBLING.
page 3	A SUSPICIOUS CHARACTER.
page 3	Swatow.
page 3	China.
page 3	LATE LEGRAMS.
page 4	CELEBRITIES AT HOME.
page 4	"M. QUAD" ON SKATES.
page 4	A NEW MILITARY INVENTION.
page 4	COLONEL TOMPKING'S PET ALLIGATOR.
page 4	BOSNIA AND AUSTRIA.
page 4	THE TURKS AS SOLDIERS.
page 7	Goods sent for sale or in execution of an order (however small the Quantity may be), or any articles sent by on private individual to another, which are not actual patterns of samples, are not admissible.
page 7	Miscellaneous Notices.
page 7	Money Order Regulations.
