page 2	IT is pleasing to note, from the official Congressional Record, the attention that is now being paid in Washington to the character and status of the U. S. Diplomatic and Consular Services.
page 5	THE MONTENEGRO, GREEK AND ARMENIAN QUESTIONS.
page 5	INSURRECTION IN ALBANIA.
page 5	SCRATCHED FOR THE DERBY.
page 5	INDECENT BATHING.
page 5	BELLICOSE TAILORS.
page 5	SHOT AND BADLY WOUNDED.
page 5	TSZ FAH.
page 5	UNLAWFUL POSSESSION OF PREPARED OPIUM.
page 5	A CHINESE THIEF SHOT BY A FOREIGNER IN SHANGHAI.
page 6	CHINA AS A MILITARY POWER.
page 6	NIHILISM IN CHINA.
