page 2	THE following appointment has been made at the Admiralty: --- Commander D. Beatty.
page 3	FIGHTING IN SAMOA.
page 3	NEW CHINESE LOAN.
page 3	PLAGUE AT MECCA.
page 3	THE JAPANESE AT AMOY.
page 3	ALLEGED EXTRAORDINARY DEMANDES FOR TERRITORY.
page 5	THE U.S. TRANSPORT SHERIDAN AT COLOMBO.
page 5	AN INCIDENT AT THE START.
page 5	THE HEALTH OF THE TROOPS.
page 5	AMUSEMENTS ON THE VOYAGE.
page 5	JOURNALISTS OF BOARD.
page 5	OTHER VESSELS FOR THE PHILIPPINES.
page 5	LORD CHARLES BERESFORD AND CHINA.
