page 2	THE Governor's speech on the Gambling Bill now before the Legislative Council is a despondent cry for more light.  we fully sympathisc with him. 
page 3	THE ARGENTINE REPUBLIC - A TAX ON CAPITAL.
page 3	THE RAILWAY STRIKE.
page 3	WAGES LOWERED IN CANADA.
page 3	THE PERSECUTION OF THE JEWS.
page 3	SMALL-POX IN SPAIN.
page 3	THE MARITIME DISPUTE.
page 3	THE CHILI REVOLT.
page 3	THE DAHOMEY TREATY REJECTED BY THE FRENCH.
page 3	CONSPIRACY BILL.
page 3	THE 'MATRIMONIAL NEWS' CASE.
page 3	IN THE DARK CONTINENT.
page 3	THE PLAN OF CAMPAIGN.
page 3	MRS O'SHEA.
page 3	SIR CHARLES DILKE.
page 3	A SHADY BARONET.
page 3	DR. MIGUEL SUCCEEDS CAPRIVI.
page 3	LABOUR TROUBLES.
page 3	THE REBELLION IN PORTUGAI.
page 3	THE KOCH CURE.
page 3	THE STATES ARD CANADA.
page 3	THE SPANISH FORCES IN THE CAROLINES.
page 3	THE IRISH QUESTION.
page 3	MISCELLANEOUS.
