page 2	ANOTHER King has gone into exile. M. de Maryanne, a Frenchman who arrived here about two months ago with a Sourish of trumpets, telling a story of adventures worthy almost of r asking with the 1001 in the Arabian Nights.
page 3	THE VICTORIA HOME AND ORPHANAGE.
page 3	PRESENTATION OF BRIZES.
page 3	SUPREME COURT.
page 3	IN ORIGINAL JURISDICTION.
page 3	LEUNG SIK WAN V. NG YAU-A TRADEMARK QUESTION.
page 3	CHINA AWAKENING.
page 3	M. BOULANGER, DEPUTY.
page 3	NEWS BY THE CANADIAN MAIL.
page 3	PROROGATION OF THE IMPERIAL PARLIAMENT.
page 3	THE HAYTIAN DIFFICULTY SETTLED.
page 3	MISCELLANEOUS.
page 3	MR. GLADSTONE AT NAPLES.
page 3	STILL IN DOUBT.
page 3	BRITISH INFLUENCE PREVAILED.
page 3	THE DISSENTIONS IN SAMOA.
