page 2	A Chinese contractor was brought before Mr Robinson in the Police Court to-day, at the instance of Mr R.F.Drury of the Publio Works Department, for ohoking up a sewer in Wing Fung Street with building rubbish.
page 3	SANITARY BOARD.
page 3	THE DISPOSAL OF THE CITY RUBBISH THE GOVERNOR DISAPPROVES OF THE SCHEME ADOPTED.
page 3	MORTALITY STATISTISS.
page 3	THE COMMITTEE ON CONTRAUT SPECIFICATIONS.
page 3	THE METHOD OF DEALING WITH COMMUNICATIONS.
page 3	SUPREME COURT.
page 3	IN SUMMARY JURISDICTION.
page 3	HUNTLEY U. ROWLAND ACTION OF DAMAGES FOR ASSAULT.
page 3	NEWS BY THE AMERICAN MAIL.
page 3	TH ETERRIBLE EXPLOSION IN ANTWBRP.
page 3	IRISH AFFAIRS.
page 3	THE POPE WILL STAY IN ROME.
page 3	DEATH OF A GERMAN COUNT.
page 3	THE PLANS OF THE CANADIAN PACIFIC.
page 3	NOTES FROM NATIVE PAPERS.
page 3	ON THE NORTHERN CRUISE.
page 3	CHINESE CHARACTERISTICS.
