page 2	Esmeralda were anchored in Junk Bay last night and proceeded to sea early this morning.
page 3	NEWS BY THE AUSTRALIAN MAIL.
page 3	THE 'STANDARO' ON THE DEBATE.
page 3	THE IRISH PARTY'S GRATITUDE TO AUSTRALIA.
page 3	WIDESPREAD REVOLT IN AFRICA.
page 3	SIR CHARLES HALL.
page 3	RECALL OF THE CHINESE MINISTER AT WASHINGTON.
page 3	THE REBELLION IN MOROCCO.
page 3	BULGARIA AND TURKEY.
page 3	THE REBELLION IN BOLIVIA.
page 3	CONVICT LABOUR IN AMERICA.
page 3	EARTHQUAKE SHOCKS IN GERMANY.
page 3	THE HELSINGFORS DISASTER.
page 3	WAR IN DAHOMEY.
page 3	ACCIDENT TO H. M. S. 'WARSPITE.'
page 3	THE BRITISH NAVAL MANEUVERS.
page 3	THE PRUSSIAN MINISTRY.
