page 2	AN Indian constable at Aberdeen was fined 3Dollar at the Magistracy to-day for being drunk and disorderly on 9th inet. and assaulting a woman He was also fined 2Dollar for beating a fireman belonging to the Glengyle.
page 3	NORTH-WESTERN CHIHLI.
page 3	TELEGRAMS BY THE GERMAN MAIL.
page 3	THE QUEEN'S BIRTHDAY HONORS-MR. SWET-TENHAM MADE A C. M. G.
page 3	INCREASE OF THE FRENCH AND GERAN ARMIES.
page 3	MR. MORLEY AND THE COMING ELECTIONS.
page 3	THE FLOODS IN AMERICA.
page 3	SINKING OF A BRAZILIAN MAN-OF WAR.
page 3	THE KHEDIVE A G. C. B.
page 3	FIGHTING IN WEST AFRICA.
page 3	THE PROGRAMME OF THE NEW ITALIAN CABINET.
page 3	DEBATE ON THE IRISH LOCAL GOVERNMENT BILL.
page 3	BOG FLOODS IN AMERICA.
page 3	THE DURHAM COAL STRIKE.
page 3	THE BILL FOR THE REGISTRATION OF ELECTORS.
page 3	DEATH OF MR. JUSTICE BUTT.
page 3	AMERICAN PURCHASES OF SILVER.
page 3	THE INDIA COUNCILS BILL READ A THIRD TIME.
page 3	THE CONVERSION OF THE DOMAIN LOAN IN EGYFT.
page 3	VOTE OF CONFIDENCE IN THE ITALIAN GOVERNMENT.
page 3	A MISSIONARY ATTACKED BY HINDOOS.
page 3	A SHIPPING DISPUTE.
page 3	MAGAZINE RIFLES FOR INDIA.
page 3	HEAVY CHOLERA MORTALITY.
page 3	AN INDIAN CURRENCY ASSOCIATION.
page 3	VICTIMS TO SUNSTROKE.
page 3	OFFICIALS AND EXCHANGE.
page 3	THE BISHOP OF BOMBAY ON THE 'INDIAN WATCHMAN.'
page 3	ANEW GERMAN LINE STEAMER.
page 3	SURVEY OF THE COUNTRY ROUND ADEN.
page 3	FAILURE OF A CALCUTTA FIRM.
page 3	INCREASE OF WILD ANIMALS IN BURMA.
