page 2	THE Grivitza redoubt which the Rumanian troops were stated in the telegram we published yesterday to have three times unsuccessfully attacked must be a second redoubt of that name.
page 3	LOCAL AND GENERAL.
page 3	Police Intelligence.
page 3	MISBEHAVIOUR.
page 3	UNLICENSED BROTHELS.
page 3	LARCENY.
page 3	ATTEMPT TO COMMIT FELONY.
page 3	DESERTION.
page 3	CHILD-STEALING.
page 3	ASSAULT.
page 3	ALLEGED INHUMANITY AT SEA.
page 3	MISCELLANEOUS ITEMS.
page 3	A CHINESE LEGEND.
page 3	BREAK SAD NEWS GENTLY.
page 3	"SQUARING IT."
page 3	THE QUEEN NOT SO VERY RICH WOMAN.
