page 2	AT balf-past tive o'clock yesterday morning fire was discovered to hsve broken out in the corner room on the forth floor of the Hongkong Hotel. The fire was quiekly extingushed, a good deal of dainage being.
page 3	THE AMERICAN-SPANISH WAR.
page 3	THE BLACK FLAG DISTURBANCES ON THE WEST RIVER.
page 3	SIXTY TRANSPORTS AT WUCHOW.
page 3	CHINESE GENERAL IN COMMAND.
page 3	A SHORT SWIFT DECISIVE ACTION.
page 3	SPANIARDS MAKE A BRAVE FIGHT.
page 3	ADMIRAL MONTOJO Y PASARON WOUNDED.
page 3	THE CABLE INTERRRUPTION.
page 3	SAD DEATH ON THE HUGH McCULLOCH.
page 3	A WELL-TIMED ARRIVAL.
page 3	FLIGHT OF THE SPANISH ADMIRAL.
page 3	NARROW ESCAPE ON THE OLYMPIA.
page 3	INTERVIEW WITH AN AMERICAN OFFICER.
page 3	GRAPHIC DESCRIPTION OF THE FIGHT.
page 3	CABLE COMMUNICATION STOPPED BY REBELS.
page 3	SURPRISE OF SPANISH FLEET.
page 3	SPANISH BRAVERY.
page 3	THE SPANISH ADMIRAL'S PLUCK.
page 3	AN INTERVAL FOR BREAKFAST.
page 3	RENEWAL OF THE INGAGEMENT.
page 3	COMPLETE DESTRUCTION OF THE SPANISH FLEET.
page 3	THE TORPEDO BOAT ATTACK.
page 3	THE FRUITS OF VICTORY.
page 3	COMMODORE DEWEY PROMOTED.
page 3	POSSIBLE RESTORATION OF TELEGRAPHIC COMMUNICATION.
page 3	THE POSITION OF THE ESMERALDA.
page 3	IN MEMORIAM.
page 3	THE SAD DEATH OF SISTER GERTRUDE.
page 3	PULPIT REFERENCE BY REV. R. F. COBBOLD.
