page 2	Diary Of A Lady With A House.
page 6	CIVIL SERVICE TROUNCED BY RADIO.
page 6	COST OF BARRACKS IN EGYPT.
page 6	WALL ST. RUMOUR.
page 6	SINGAPORE SHARES.
page 6	NEW ADVERTISEMENTS.
page 6	THE HONGKONG ELECTRIC COMPANY LIMITED.
page 6	INTERIM DIVIDEND.
page 7	LORDS URGE BRITISH PRESSURE ON JAPAN.
page 7	GOODWOOD STAKES.
page 7	LOCAL SHARE.
page 7	LOCAL DOLLAR.
page 8	Baseball To Date Reviewed.
page 8	League Concluded But International Series Commences Saturday.
page 8	HONG KONG CLUB'S UNACCOUNTABLE LACK OF SUCCESS.
page 8	PERELRA'S PITCHING.
page 8	INDIANS DISAPPOINT.
page 8	Hammond's Further Honour.
page 8	RAIN INTERFERES WITH CRICKET.
page 8	CLOSE OF PLAY CRICKET SCORES.
page 8	"REVIEWER'S" SPORTS COMMENTARY.
page 8	Tennis League Nears Conclusion.
page 9	Kowloon F.C. Earn Promotion.
page 9	Decislve Margin In 3rd. Division Table.
page 9	RECORD-BREAKING VICTORY BY CRAIGENGOWER C.C.
page 9	U. M. OMAR RETURNS TO FORM AGAINST BROWN.
page 9	FINCHER AND HOLLIDGE PLAYED GREAT GAMES.
page 9	F. X. SILVA'S RINK PLAY BIG PART IN RECREIO'S WIN.
page 9	K. B. G. C. HEADS RACE IN SECOND DIVISION.
page 9	CLUB DE RECREIO SWAMP FOOTBALL CLUB "A".
page 9	A TALE OF A LOST BOTTLE PACKED IN CELOPHANE!.
page 9	JAKE SELBY PLAYS A LONE HAND AGAINST BILL WAY.
page 9	GOLF CHALLENGE MATCH.
page 9	HOSTAK CRUSHES STEELE.
page 9	 RONNIE EDWARDS PROMINENT AS NO. 3.
page 10	Lawn Bowls Teams For Saturday.
page 11	SKIPS TABLE UNCHANGED.
page 11	E. O. FINCHER LOSES UNBEATEN RECORD.
page 13	NEW ADVERTISEMENTS.
page 13	PUBLIC AUCTION.
page 13	CONSIGNEES' NOTICE.
page 13	CLASSIFIED ADVERTISING.
page 14	COLONY'S NEW SEDITION LEGISLATION.
page 14	SEDITIOUS INTENTION.
page 14	EMBEZZLEMENT CHARGES.
page 14	HEROIN DIVANS ILLEGAL: DEFECT IN ORDINANCE BEING REPAIRED.
page 14	BUS CONDUCTOR ASSAULTED.
page 14	STOP PRESS.
page 14	YOUTH CONSIDERED.
