page 2	One of the characteristics of the sphinx like policy recently inaugurated by Mr. Pope Hennessy in Hongkong is the unusual and most crude methods by means of which he often seeks to carry out his extremely original ideas.
page 3	BREACH OF CONDITIONAL PARDON.
page 3	LARCENY.
page 3	BREACH OF GAOL REGULATION.
page 3	OBSTRUCTION.
page 3	THE CHINESE BOARDING-HOUSE RUNNERS.
page 3	TRAFFIC IN WOMEN.
page 3	THE RHTORT COURTEOUS.
page 3	SHANGHAI.
page 3	FOUNDERING OF THE SHIP COUNTY OF STERLING.
page 3	THE AUSTRIAN ARMY.
