page 2	THERE was a very small calendar of cases set down for adjudication by Mr Justice Wise, to-day, at the Supreme Court in Summary Jurisdiction. On the near spproach of the Chinese New Year it is rather unusual to have only six cases set down on the weekly list.
page 3	ANOTHR SUICIDE AT SHANGHAI.
page 3	GERMAN MERCHANT SHOOTS HIMSELF.
page 3	THE POLITICAL SITUATION IN CHINA.
page 3	KIAO-CHAU LEASED TO GERMANY RUSSIAN DEMANDS.
page 3	THE ANGLO-JAPANESE ALLIANCE.
page 3	COREAN INDEPENDENCE TO BE MAINTAINED.
page 3	RUSSIAN AGGRESION MAY LEAD TO WAR.
page 3	THE REPORTED ANNEXATION OF HAINAN.
page 3	FRENCH CRUISERS IN HOIHOW HARBOUR.
page 3	THE GRAND HOTEL LICENCE.
page 3	THE PARASITES OF SOCIETY.
page 3	RIOTOUS JAPANESE SEAMEN.
page 3	MURDEROUS ATTACK ON EUROPEAN PASSENGERS.
page 3	GERMANY AND CHINA.
page 3	GREAT BRITAIN AND CHINA.
page 3	THE SOUDAN EXPEDITION.
page 3	GREAT BRITAIN AND CHINA.
page 3	CRICKET.
page 3	MARRIAGE.
page 3	THE GERMAN CHINA SQUADRON.
page 3	MAT SALLEH'S SUCCESSFUL DEFENCE.
page 3	THE DEATH OF ADJUTANT JONES.
page 3	THE MURDER OF MR. TERRISS.
page 3	THE FIRE IN LONDON.
page 3	THE P. AND O. SAILINGS.
page 3	THE ENGINEERS' STRIKE.
page 3	THE BRITISH ARMY.
page 3	PRINCE HENRI OF ORLEANS.
page 3	THE COMMANDER-IN-CHIE IN INDIA.
page 3	COLLISION IN THE HOOGLY.
page 3	THE NORTH-WEST FRONTIER.
page 5	GOLD AND BLOOD.
page 5	GREAT EASTERN & CALEDONIAN GOLD MINING CO., LIMITED.
page 5	THE NEW BALMORAD GOLD MINING CO., LIMITED.
page 5	OLIVERS FREEHOLD MINES, LIMITED.
page 5	PRINTERS' ERRORS.
