page 2	IN writing recently on the Grant-in-Aid Scheme we expressed surprise that any person engaged in the work of education in Hongkong should hold aloof from such an excellent means as this for subsidising the various educational establishments of the Colony without at the same time entrenching on religious beliefs and prejudices.
page 3	AT ELOQUENT CONTRAST.
page 3	THE LIFE OF THE PRINCE CONSORT.
page 3	THE QUEEN'S ANSWER.
page 3	ROYAL VISIT TO FRANCE.
page 3	BETROTHAL OF THE PRINCESS ROYAL.
page 3	THE PRINCE AS A FATHER.
page 3	A MISERABLE CALUMNY REFUTED.
page 3	IMPROVED PASSENGER CAR.
page 3	THE P. & O. COMPANY.
page 3	THE ASSASSINATION OF PRESIDENT LINCOLN.
