page 2	THIS morning, at the Magistracy, two youthful, able-bodied seamen Frederick Albers and Oscar Dobbell, were charged with deserting from the German ship Lena.
page 3	WATER SUPPLY OF HONGKONG.
page 3	MR CHADWICK'S PROPOSALS FOR.
page 3	QIAMTOTU PF WATER AFFPRDED.
page 3	EFFECT OF WASTE PREVENTION.
page 3	INTERMITTENT SUPPLY.
page 3	MEANS OF AUGMENTING SUPPLY.
page 3	TFTAM DAM.
page 3	THE WAR.
page 3	THE CZAR OF RUSSIA.
page 3	BRITISH DOLLAR FOR THE EAST.
page 3	SPEECH BY THE EMPEROR OF JAPAN.
page 3	RUSSIAN PRETENSIONS IN COREA.
page 3	THE AMERICAN MELODRAMA.
page 3	THE AMHERST EXPLOSION.
page 3	FATAL TAMPERING WITH BOILERS.
page 3	CHINESE TRADE.
page 3	CHINESE DELICACIES.
page 3	THE CHINESE COLOSSUS.
