page 2	NEXT to the warlike attitude of the European powers, the most fruitful topic of discussion this week is the departure of our venerable Colonial Secretary, or rather, to put it correctly.
page 3	REUTER'S TELEGRAMS.
page 3	THE WAR.
page 3	LOCAL AND GENERAL.
page 3	Manila.
page 3	Police Intelligence.
page 3	LARCENY.
page 3	ALLEGED LARCENY.
page 3	UNLAWFUL POSSESSION.
page 3	MENDICANTS.
page 3	LARCENY.
page 3	FIGHTING.
page 3	LARCENY FROM A DWELLING HOUSE.
page 3	CHARGE OF EMBEZZLEMENT.
page 3	LONDON GOSSIP.
page 3	TRANSLATIONS FROM "ECHO DU JAPON."
