page 1	THE STRANDING OF THE S. S. TAK HING.
page 4	ARCHDEACON MOULE'S APPEAL TO EDUCATED CHINA.
page 4	ALLEGED FALSE DECLARA TION AND SMUGGLING.
page 4	SAILORS' AND SOLDIERS HOME.
page 4	VICTORIA CINEMATOGRAPH.
page 4	KING'S BIRTHDAY IN SHANGHAI.
page 4	KEIR HARDIE'S EFFIGY BURNED.
page 4	THE BRITISH IN PEKING.
page 4	QUESTION OF A POST OFFICE.
page 4	GERMAN NAVAL ESTIMATES.
page 4	COLONIAL SUBSIDIES DECREASED.
page 4	THE KILLING OF SEALS.
page 4	PROPOSED INTERNATIONAL CONFERENCE.
page 4	PREPARING FOR DEFEAT.
page 4	FINANCIAL READJUSTMENTS.
page 4	CHINESE NAVAL COMMISSION.
page 4	TUAN FANG'S OFFENCE.
page 4	PHOTOGRAPHING IMPERIAL FUNERAL.
page 4	CHINESE CONSULATES.
page 4	LORD KITCHENER.
page 4	LICENSING.
page 4	ALLEGED CONCEALMENT OF GOODS.
page 4	BYSACK'S CIRCUS.
