page 2	"To the memory of may father, who, from my earliest childhood, inspired in me that love of natural history and true aport which has enable me to spend sp many hours of thorough ebjoyment in wild countries far from home, I dedicate this Book".
page 3	THE BI-METALLIC CONFERENCE.
page 3	GERMANY TO COIN FIFTEEN MILLION SILVER MARKS.
page 3	DEATH OF LORD BEACONSFIELD.
page 3	THE BI-METALLIC CONFERENCE.
page 3	KING KALAKAUA AT THE PERSEVERANCE LODGE.
page 3	OBSTRUCTIONISTS.
page 3	UNLAWFUL POSSESSION OF A CLOCK.
page 3	DAMAGING A 'RICKSHA, AND ATTEMPTING TO RESCUE A PRISONER.
page 3	LARCENY FROM THE PERSON.
page 3	PUBLIC GAMBLING.
