page 2	THE China Gazette publishes a long statement regarding the pilgrimage to Peking of Drs. Hart and Hare, of the Canadian Mission, whose property was destroyed in the recent riots at Szechuen.
page 3	KUCHENG MASSACRE.
page 3	TURKEY.
page 3	KUCHENG MASSACRE.
page 3	HIGH-HANDED CONDUCT OF CHINESE OFFICIALS.
page 3	BRITISH AND AMERICAN CONSULS TABOOED.
page 3	THE OLD FARCE OVER AGAIN ANOTHER OBJECT LESSON TO GREAT BRITAIN.
page 3	ANTI-FOREIGN PLACARDS IN CANTON.
page 3	THE KUCHENG MASSACRE.
page 3	THE BEGINNING OF THE TROUBLE.
page 3	INDIGNATION MEETING AT TIENTSIN.
page 3	A SINGAPORE OPINION.
page 3	SHANGHAI COUNCIL OFFERS TO ASSIST.
page 3	THE CHINESE GOVERNMENT AND THE VEGRTARIANS.
page 3	THE CHINKIANG AND NORTH-WESTERN RAILWAY.
page 3	CHEFOO.
page 3	THE OUTBREAK OF CHOLERA.
page 3	CHOLERA AFLOAT.
page 3	DEATH OF THE HARBOUR MASTER.
page 3	CHOLERA.
page 3	NAVAL NOTES.
page 3	TWO DEATHS.
page 3	NAVAL NEWS.
