page 2	STRONG objections are likely to be taken to the proposed action of the Government in raising the police rates at Tsim-tsatsui (Kowloong) from 6 to 8.25 per cent The fact that these rates are proposed to be placed on the same basis as the levy on lot-helders at the Peak is considered unfair.
page 3	THE BURMAN QUESTION.
page 3	THE EASTERN QUESTION.
page 3	ENGLISH SUPREMACY IN BURMAN.
page 3	DISTURBANCES AT LAHORE.
page 3	MISCELLANEOUS.
page 3	ROUMELIAN AFFAIRS.
page 3	THE UPPER BURMAN TROUBLE.
page 3	WANDERINGS IN UPPER BURMA.
page 3	THE CAROLINE ISLANDS.
page 3	A BATTALION OF BOY VOLUNTEERS.
