page 2	WE give in another column the speech delivered by Mr. Hennessy at Hakodate, concerning which we reproduced certain remarks of the Japan Herald the other day. We have not the least hesitation in saying.
page 3	THE HONGKONG HUMANE SOCIETY.
page 3	Police Intelligence.
page 3	A MOST REMARKASLE CASE.
page 3	A SWINDLER CHECKMATED.
page 3	BONFIRE ON THE STREET.
page 3	NEW GAMBLING DODGE.
page 3	TEN PER CENT INTEREST.
page 3	A "JEREMY DIDDLER."
page 3	A SERIOUS CHARGE UNSUPPORTED.
page 3	HIGHWAY ROBBERY.
page 3	MR. HENNESSY'S SPEECH AT HAKODATE.
page 3	GOVERNOR HENNESSY AND SIR HARRY PARKES.
