page 2	THE threatened scourge of plague is now the prineipal topie for consideration amongst all classes of the comnunity . Thoes of our residenis (offlicul and unofticial) who saw what such an opidemic really was, and what.
page 3	SPAIN AND THE UNITED STATES.
page 3	INSANITARY CONDITION OF BUSINESS OFFICES.
page 3	A SIMPLE METHOD OF DISINFECTION.
page 3	EMIGRATION OF PLAGUE PATIENTS.
page 3	HOW TO COMBAT THE DISEASE.
page 3	WUCHOW NOTES.
page 3	THE BRITISH FLEET.
page 3	THE RETURN OF EDGAR AND RAINBOW.
page 3	SPAIN AND THE UNITED STAES.
page 3	PRESIDENT McKINLEY'S ULTIMATUM.
page 3	SPAIN MUST LEAVE CUBA WAR IMMINENT.
page 3	THE BRITISH LIEN ON THE PHILIPPINES.
page 3	SPANISH FORCES IN CUBA.
page 3	OLIVERS FREEHOLD MINES LIMITED.
page 3	CREMATION OF PLAGUE BODIES.
page 3	ILLICIT SALE OF INTOXICATING LIQUORS.
page 3	A COFFEE HOUSE SHEBEEN.
