page 2	THANKS to the protest of Mr. Francis, the members of the Sanitary Board and the ratepayers have now got laid before them a statement of the advantages of the sepsrate system of drainage. 
page 3	TELEGRAMS.
page 3	FRANCE AND ITALY IN AFRICA.
page 3	PASSED SUEZ CANAL.
page 3	'FRAGRANT WATERS' MURMUR.
page 3	METEOROLOGICAL NOTES FOR JUNE AND JULY.
page 3	RIOT AT KIUKIANG.
page 3	THE DARKEST HOUP BEFORE DAWN.
page 4	THE BUSTLE.
page 4	HOW SAM PENNELL RAN AWAY.
page 4	BY PAUL PASTNOR.
page 4	IN A MAIL BAG.
page 4	BY H. S. KELLER.
page 4	AN INTERESTING LETTER FROM A VETERAN.
