page 2	IN the House of Commens, on March 25, Mr. Okelly asked the First Lord of the Treasury wbether he would place in the Tea. Room of the House of Commons a map of China showing the territory in the.
page 3	NEW NAVAL STATION FOR GERMANY.
page 3	DEPARTURE OF AMERICAN SQUADRON.
page 3	THE POSITION OF THE REBELS.
page 3	GREAT ENTHUSIAM IN THE FLEET.
page 3	THE PRESIDENT'S PROCLAMATION.
page 3	THE WHEREABOUTS OF AGUINALDO.
page 3	BRITISH SHIPS GOING TO THE PHILIPPINES.
page 3	SPANISH NOTIFICATION.
page 3	PROGRESS OF EVENTS IN EUROPE.
page 3	THE RUSSIANS AT PORT ARTHUR.
page 3	AMUSING DISCUSSION IN PARLIAMENT.
page 3	THE UNITD STATES CONSULAR REPORT ON HONGKONG.
page 3	THE WRECK OF THE 'CHINA'.
page 3	DELAILS OF THE VOYAGE.
page 3	THE FIGHTING IN THE SOUDAN.
page 3	HEAVY BRITISH CASUALTIES.
page 3	THE DREYFUS CASE.
page 3	THE N. W. FRONTIER.
page 3	THE FAR EAST.
page 3	THE PLAGUE RIOTS AT BOMBAY.
page 3	NATIVE REGIMENT FOR MAURITIUS.
