page 2	MORE than a year has now elapsed since the Japanese proclaimed to the world that their army of occupation had finished its task, in Formosa, and it is instructive and interesting to see.
page 3	OPENING THE NEW DOCK AT NAGASAKI.
page 3	RUSSIA AND THE DARDANELLES.
page 3	RELEASE OF DR. JAMESON.
page 3	TURKEY AND THE POWERS.
page 3	FRENCH TORPEDO BOAT ACCIDENT.
page 3	FRANCE AND RUSSIA.
page 3	DEATH OF A DEPUTY ELECT.
page 3	WEALTH IN THE FAR EAST.
page 3	QUEER STOCK EXCHANGE OPERATORS.
page 3	AUDACITY OF SPECULATION.
page 3	ALL ARE MAKING MONEY EAST.
page 3	IF YOU WERE AT HOME.
page 3	WRITE LONG HOMILIES TO THEIR AGENTS.
page 3	THE STRANGE CASE OF SUN YAT SIN.
page 3	THE PANAMA ACANDAL REVIVED.
page 3	CANADA AND THE PROPOSED ZOLLVEREIN.
page 3	ROYALIST ACTIVITY IN PRANCE.
page 3	THE AMERICAN ELECTIONS.
page 3	STEAMSHIP SUBBIDIES.
page 3	THE FLOODS IN FRANCE.
page 3	GOLD FROM SIBERIA.
page 3	THE EASTERN QUESTION.
