page 2	Some of the leading Japanese native jour nals are disussing the leases of Wei-hai-wei to Great Britain. They are inclined to regret the transfor of the port from Japanese hands, but as the indemnity has to be.
page 3	SPAIN AND THE UNITED STATES.
page 3	FRANCE IN CHINA.
page 3	THE GARRISON AT WEI-HAI-WEI.
page 5	SERIOUS FIRE IN COLOMBO HARBOUR.
page 5	THE S.S. 'DUPLEIX' BURNING FOR NINE HOURS.
page 5	A TORPEDO SENT FOR.
page 5	A DETENTION OT THREE WEEKS NECESSART.
page 5	NAVAL NOTES.
page 5	ACCIDENT ON THE 'BONAVENTURE.'
page 5	THE CAPTAIN OF THE 'BONAVENTURE.'
