page 2	SOME months ago, basing its remarks on a paragraph in the British Consular report from Pakhoi, the London Daily News endeavoured to raise a sensation over what Mr Consul Allen has been plesed to term.
page 3	SINGAPORE AND THE GOLD CURRENCY.
page 3	CHAMBER OF COMMERCE PROPOSALS RECOMMENDED.
page 3	GREAT BRITAIN AND GERMANY.
page 3	INDIAN FINANCE.
page 3	GREAT BRITAIN AND THE CHINA LOAN.
page 3	GERMANY AND CHINA.
page 3	THE CITY HALL.
page 3	THE AFRICAN HINTERLAND.
page 3	THE CRETAN GOVERNORSHIP.
page 3	THE INDIAN FAMINE FUND.
page 3	FURTHER INCREASW OF PLAGUE AT BOMBAY.
page 3	SANDHURST RUGEY TOURNAMENT.
page 3	THE MISSING COLOUR-SEEGLANT.
