page 2	It is curious to note that while Hongkong has been agitating for the removal of the Imperial Chinese Maritime Custom House from the Colony.
page 3	ALARMING FIRE AT CANTON.
page 3	WORSHIPPING THE EMPEROR.
page 3	VICEROY LI HUNG CHANG DOES NOT ATTEND.
page 3	THE SITUATION IN CHINA.
page 3	THE WAR.
page 3	THE WAR --- CASUALTIES AT SPIONKOP, 24TH INSTANT.
page 3	Indian Army News.
page 3	Gun Accident on a Man-of-War.
page 3	The Indian Currency.
page 3	The Famine.
page 3	THE WAR.
page 3	The London City Volunteers.
page 3	The Queen and General White.
page 3	A Vote of Censure.
page 3	Lord Methuen and Highlanders.
page 3	Delagoa Bay.
page 3	The Natal Column.
page 3	The Western Frontier.
page 3	The Southern Frontier.
page 3	The Reinforcements.
page 3	Miscellaneous.
