page 2	THE Company formed under the name of The Gold fields of Siam has been compelled to suspend operations, The history of the Company as told in a report recently issued is a sad one.
page 3	REVIEW OF THE FRENCH ARMY.
page 3	GERMAN EAST AFRICA.
page 3	THE LATE CHILIAN PRESIDENT.
page 3	THE ATTACK ON CHRISTIANITY BY 'A CHINESE'.
page 3	CHRISTIANITY CERTAINLY PROMOTES MORALITY.
page 3	OURISTIANITY CERTAINLY ADVANCES KNOWLEDGE.
page 3	WORKS OF CHARITY.  
page 3	GENERAL REMARKS.
page 3	A MILITARY FEUD AT KIUKIANG.
page 3	THE CHINESE QUESTION AND THE CHUNGKING FIASCO.
page 3	A BOYAL LOVE MATCH.
page 3	ITALY'S COMMERCE.
page 3	RUSSIA TO ISSUE MORE PAPER.
page 3	ANXIETY FELT OVER THE DARDANELLES QUESTION.
page 3	REFLECTIONS PROVOKED BY SEDAN DAY.
page 3	CLOSE OF THE CAKEER OF A REMARKABLE CHIMPANZEE.
page 3	SERVIA CONSULTS FRANCE.
page 3	ANTWERP AND OTHER PLACES TO BE MADE FREE PORTS.
page 3	AUSTRIA'S EMPRESS.
page 3	A SCANDAL REVIVED-THE SUICIDE OF CROWN PRINCE RUDOLPH.
page 3	BRITISH POLITICS.
