page 1	THE PSYCHIC EXPERIENCES OF A SOLDIER IN HIS FIRST BATTLE.
page 2	THE AUSTRIAN COURT.
page 2	SECRET CHRONICLES.
page 2	A Countess's Disclosures.
page 2	HOW KING LUDWIG DIED.
page 2	OUR ANSWER TO GERMANY.
page 2	No Sympathy With Her Cause From America.
page 3	AN HISTORIC DESPATCH.
page 3	BRITISH AMDASSADOR'S EXPERIENCES IN BERLIN.
page 3	WAR OF THE NATIONS.
page 3	LORD ROSEBERY ON CRISIS OF OUR FATE.
page 3	Victory on Degradation.
page 4	TRADE OPENINGS AGAINST THE GERMANS.
page 4	UNMUZZLED DOGS.
page 4	Warning to Owners.
page 4	THEFT OF RICE.
page 4	OFFICIAL PROCLAMATION FROM THE BELGIAN GOVERNMENT.
page 4	COMPETING WITH THE POST OFFICE.
page 4	ITALIAN CONYENT SALE OF WORK.
page 4	THE ST. LEGER.
page 4	A RECENT ENGAGEMENT.
page 4	ARTILLERY IN ACTION.
page 4	Enthusiast Troops.
page 4	GERMAN PRESS GANG.
page 4	Unwilling Read-Makers.
page 5	THE WAR.
page 5	THE LATEST NEWS FROM FRANCE.
page 5	H. M. S. LION'S DEADLY FIRING.
page 5	RUSSIANS REPULSING THE ENEMY.
page 5	LATEST NEWS FROM FRANCE.
page 5	Renewed Efforts By The Enemy.
page 5	ALLIES PROGRESSING.
page 5	THE STRUGGLE IN FRANCE.
page 5	Continuing With "Undiminished Violence."
page 5	FRENCH OFFICIAL TELEGRAM.
page 5	AN EYE-WITNESS' STATEMENT.
page 5	The British In Two Fighting Spheres.
page 5	THE RUSSIAN ADYANCE.
page 5	BRITISH NAYAL DESPATCHES.
page 5	A GUN ACCIDENT ON A MONITOR.
page 5	FEARED LOSS OF A BRITISH SUBMARINE.
page 5	MINISTER OF AGRICULTURE.
page 5	HONGKONG VOLUNTEER CORPS.
page 5	Corps Orders by Liens.-Col A. Chapman Y. D.
page 5	HONGKONG VOLUNTEER RESERVES.
page 5	Orders by Major Wakeman O. C. H. K. V. R.
page 5	A PARADOX OF GAIETY.
page 5	Refugees Make Holiday at Folkestone.
page 5	CAJOLING ITALY.
page 5	Prince Von Below Says She Must Join Germany.
page 5	JAPANESE ARMY AND NAVY INCREASES.
page 5	Decision of Committee of National Defense.
page 5	NO GIRL NEED LACK EMPLOYMENT.
page 5	Organization That Meets All Cases.
page 5	PRUSSIAN LOSSES.
page 5	Casualty Lists Total 211,000 Officers and Men.
page 5	DURATION OF THE WAR.
page 5	THE SINKING OF CAP TRAFALGAR.
page 5	HEROES OF MONS AND CAMBRAI.
page 5	Dover Brigade's Magnificent Fight.
page 5	LANCASHIRE FUSILIER'S THRILLING NARRATIVE.
page 8	AN HISTORIC DESPATCH.
page 8	DEPARTURE FROM DERLIN.
