page 2	ABOUT thirty leading Chinese merchants assembled in Consul Seymoar's office in Canton yesterday to hear a few details about the World's Fair from the Rev. E. S. Williams.
page 3	BAVARIANS WRATHY.
page 3	THE EMPEROR OF AUSTRIA'S SPEECH CAUSES CONSIDERABLE ANXIETY.
page 3	GERMANY IN COMMERCIAL PANIC.
page 3	CONGRATULATIONS FOR MOCDERMOTT.
page 3	BE COMMITTED SUICIDE.
page 3	CRISPI WANTS PEACE.
page 3	BUSSIA WANTS BOKHARA.
page 3	DEPRESSION OVER THE RESULT IN CORK.
page 3	MRS. PARNELL IN PROBATE SUIT.
page 3	RAILWAYS IN BRITISH EAST AFRICA.
page 3	THE CORK ELECTION.
page 3	BISMARCK'S POSITION DISCUS ED.
