page 2	THE meeting called by the Labour Crisis Committee for to-day was actuated by a better-defined spirit than that of Thursday last. A clear and forcibly-worded expression of opinion, in.
page 3	JAPANESE ATONEMENT FOR THE ATTEMPTED ASSASSINATION OF LI HUNG CHANG.
page 3	GREAT BRITAIN AND FRANCE.
page 3	THE NEW SPANISH MINISTRY.
page 3	THE ARMISTICE. - FORMOSA EXCLUDED.
page 3	THE PESCADORES.
page 3	THE ATTACK ON THE VICEROY LI.
page 3	SEARCHING SHIPS AT TAKU.
page 3	THE EMPRESS DOWAGER ILL.
page 4	ENGAGEMENT IN HIGH LIFE.
page 4	BRITISH AGGRESSION IN VENEZUELA.
page 4	THE HON. GEORGE CURZON.
page 4	NEW IRISH LAND BILL.
page 4	RIOTOUS RUSSIAN STUDENTS.
page 4	LARGEST SHIP IN THE WORLD.
page 4	DEATH OF A STEAMSHIP MAN.
page 4	IMPRISONED MINERS RESCUED.
page 4	ANOTHER 'LITTLE WAR' FOR GREAT BRITAIN.
page 4	SIR R. W. DUFF'S FUNERAL.
page 4	SIKHS FOR AFRICA.
page 4	WAR NEWS FROM EUROPE.
page 4	PROSECUTION OF NEW YORK POLICE OFFICIALS.
page 4	THE ARMY ESTIMATES.
