page 2	Ar the Magistracy to-day, berore Commander Hastings, the Master of the Germa lorcha Gern was fined $25 for deglecting to have proper covers over a cargo of kerosine.
page 3	QUARANTINE AT BANGKOK.
page 3	SPAIN AND CUBA.
page 3	PRESIDENT McKINLEY'S MESSAGE.
page 3	GREAT BRITAIN AND GERMANY.
page 3	CONGRATULATORY TELEGRAM FROM THE EMPEROB WILLIAM.
page 3	BRITISH POLICY IN CHINA.
page 3	COUNT OKUMA ON THE EASTERN QUESTION.
page 3	THE RAUB GOLD MINES.
page 3	FOREIGN ARMS FOR SIAM.
page 3	AN ALARMING DISCOVERY.
page 3	WELSH COAL IN THE FAR EAST.
page 3	STRINGENCY OF THE SUPPLY.
page 3	THE CAUSE OF THE STRIKE.
page 3	THE POLITICAL SITUATION IN CHINA.
page 3	CONFERENCE OF JAPANESE POLITIOIANS.
page 3	THE WRECK OF THE CHINA.
page 3	THE SALVAGE OPERATIONS.
page 3	THE YOKOHAMA SPECIE BANK.
page 3	HALF-YEARLY REPORT.
