page 2	IN a leading article, on the 31st October. L'Extreme Orient states that the Russian Government has made a proposal to the French to purchase a place in Tokin with the object of converting it into a military.
page 3	THE GOLD STANDARD FOR THE STRAITS.
page 3	THE CHAMBER OF COMMERCE PROPOSALS.
page 3	THE GOLD DOLLAR AT THE STRAITS.
page 3	BYE ELECTION.
page 3	EGYPT AND THE SOUDAN EXPEDITION.
page 3	GREAT BRITAIN ON THE WEST COAST OF AFRICA.
page 3	A FRENCH COLONIAL EXHIBITION.
page 3	DREYFUS.
page 3	THE BANK OF FRANCE.
page 3	ASSASSINATION.
