page 2	THE POSITION OF MACAO.
page 3	PRINCE GUDHIMI OM PEKING.
page 3	ECONOMU.
page 3	A NEW APPOINTMENT.
page 3	TO FINANCE CHINA'S NAVY.
page 3	FINANCIAL REFORM.
page 3	A BILL OF EXCHANGE CASE.
page 3	PRISSONER'S ESCAPE AND RECAPTURE.
page 3	PHILHARMONTIC CONCERT.
page 3	RETRENCHMENT.
page 3	Suggestion for the Government.
page 3	FATAL ACCIDENT AT QUARRY BAY.
page 4	NOTES FROM THE WEST RIVER.
page 5	UP COUNTRY NOTES.
page 5	BANDITS.
page 5	THE GREAT FIRE AT SNA CHEUNG.
page 6	THE FUTURE OF MANCHURIA.
page 6	THE SCANDIA.
page 6	KERMESSE AT THE "AVENIDA VASCO DA GAMA, MACAO.
page 6	EXIT ABUL HAMID.
page 6	STAR CINEMATORAPH.
page 6	FRANCO-CHINESE SCHOOL AT SAIGON.
page 6	THE TURKISH REVOLT.
page 6	PALACE TROOPS SURRENDER.
page 6	NEW SULTAN OF TURKEY.
page 6	ABDUL HAMID DEPOSED.
page 6	NEW SULTAN'S CORONATION.
page 6	AOTHER CRISIS.
page 6	HUNGARIAN GOVERNMENT RESIGNS.
page 6	KIIPING PACE WITH THE TIMES.
page 6	BRITISH NAVAL IMPETUS.
page 6	EXPEDITING DREADNOUGHT CONSTRUCTION.
