page 2	THE verdict given by the Jury at the Supreme Court to - day will command the approval of all sensible men who have carefully looked into the case. Even at the first blush of this silly and motiveless crime.
page 3	REUTER'S TELEGRAMS.
page 3	Police Intelligence.
page 3	GAMBLING.
page 3	DRUNKENNESS.
page 3	STANDING UP FOR HIS RIGHTS.
page 3	ASSAULT.
page 3	REFASTORY CHAIR - COOLAE.
page 3	STEALING PEACHES.
page 3	SUPREME COURT.
page 3	IN SUMMARY JURISDICTION.
page 3	IN ORIMINAL SESSIONS.
page 3	ARRIVAL OF THE FREMCE MAIL.
page 3	TELEGRAMS.
page 3	The Straits.
page 3	THE COAL MINES AT FORMOSA.
page 3	THE WOOSUNG RAIL AND PLANT.
