page 2	THE unofficial members of Council took a very dignified and on the whole very proper course in dealing with the demand of the lmperial Government for an increase of the military contribution from Pound 20,000 to Pound40,000 per annum.
page 3	TELEGRAMS.
page 3	SUPPLIED TO THE CHINA MAIL.
page 3	THE MINISTERIAL CRISIS IN GERMANY.
page 3	ENGLAND.
page 3	THE FRENCH MINISTERIAL CRISIS.
page 3	THE RETIREMENT OF PRINCE BISMARCK.
page 3	THE FRENCH BUDGET.
page 3	THE LABOUR CONFERENCE AT BERLIN.
page 3	PROTECTION IN FRANCE.
page 3	SHOCKING AFFAIR ON BOARD A JAPANESE STEAMER.
page 3	EIGHT STOWAWAYS SUFFOCATED.
page 3	THE VISIT OF THE DUKE AND DUCHESS OF CONNAUGHT.
page 3	PRESENTATION TO DR UNDER WOOD.
page 3	MAHOMMEDANISM IN CENTRAL CHINA.
page 3	THE SIKKIM TIBET QUESTION.
