page 4	THE GERMAN CHANCELLOR'S TIRADE.
page 5	AN UNPRECEDENTED FEAT.
page 5	THE BRITISH CAPTURE OF TWO MODERN FORTRESSES SIMULTANEOUSLY.
page 5	AERIAL WARFARE.
page 5	THE GREEK NAVY.
page 5	AN INTERESTING RUMOUR.
page 5	MONASTIR BOMBED.
page 5	THE DARDANELLES COMMISSION.
page 5	MR. CHURCHILL GIVES EVIDENCE.
page 5	STEAMERS SUNK.
page 5	GALLANT AIRMAN REWARDED.
page 5	GERMAN CHANCELLOR AND THE WAR.
page 5	GERMANY AND PEACE.
page 5	INCREASED COST OF FOODSTUFFS IN GREAT BRITAIN.
page 5	REMEDIAL MEASURES RECOMMENDED.
page 5	COMMANDEERING LEATHER.
page 5	NATURAL INDIGO.
page 5	HIGHLY-PLACED MEN DENOUNCED.
page 5	GROP PROSPECTS IN AUSTRALIA.
page 5	THE NEW LORD MAYOR OF LONDON.
page 5	THE SOMME BATTLES.
page 5	A GERMAN REPORT ON THE BRITISH OFFENSIVE.
page 5	BRITISH CAPTURE ANOTHER REDUBT.
page 5	GREAT BRITAIN DENOUNCED BY GERMAN CHANCELLOR.
page 5	A RECOGNITION OF GERMANY'S IMPENDING DEFEAT.
page 5	THE SITUATION IN GREECE.
page 5	PROCLAMATION BY THE PROVISIONAL GOVERNMENT.
page 5	BOMBARDMENT CONTINUES.
page 5	BOMBING OF BUCHAREST.
page 5	VICTIMS MOSTLY WOMEN AND CHILDREN.
page 5	MR. LLOYD GEORGE ON THE WAR.
page 5	FIGHT MUST BE TO A KNOCKOUT.
