page 2	THE community of Hongkong will readily agree with us in saying that the most prominent characteristic of Sir John Cranston, our worthy Chief Justicc, is his determination to see things done in order and in.
page 3	CHINESE FINANCES.
page 3	ATTEMPT TO RAISE A NATIVE LOAN.
page 3	GREAT BRITAIN AND RUSSIA IN CHINA.
page 3	LOSS OF A UNIONIST SEAT.
page 3	NAVAL EXPEDITION IN NORTH BORNEO.
page 3	A REBEL FORT RECAPTURED.-TALDER'S HEAD BROUGHT IN.
page 3	RACING NOTES.
page 5	THE NEW BALMORAL GOLD MININ CO., LIMITED.
page 5	CREAT EASTERN AND CALEDONIAN GOLD MINING CO., LIMITED.
page 5	OLIVERS FREEHOLD MINES, LIMITED.
page 5	AFFRAY IN POONA.
page 5	ILLNESS OF MR. GLADSTONE.
page 5	THEFT OF WAR MEDALS.
