page 2	YESTERDAY we reproduced, from the Government Gazette, the petition of certain Chinese merchants, and a minute from His Excellency the Governor there on.
page 3	THE British barque Kate Waters, from Hongkong, with rice, has arrived at Iloilo.
page 3	THE M. M. steamer Djemnag, with the outward mails, left Sinagpore for this port via Balgon, on Sunday morning.
page 3	Police Intelligence.
page 3	THE CHAIE COOLIE MUISANCE.
page 3	DRUNKENNESS.
page 3	UNLAWFUL POSSESSION.
page 3	OBSTRUCTIONS AND MENDICANTS.
page 3	To the Editor of the "CHINA MAIL."
page 3	Manila.
page 3	China.
page 3	SHANGHAI.
page 3	WHEN IS A MAN DRUNK?
page 3	FEMALE VIGILANTES.
