page 2	IT is to be feared that the currency question will be discussed ad nauseam before it reaches a final settlement, but it is important that the public should know something of what was done in the matter at the recent private meeting of the Chamber of Commerce.
page 3	Police Intelligence.
page 3	LARCENY.
page 3	SREACH OF THE BROTHEL ORDINANCE.
page 3	A SHILLING A DAY.
page 3	ASSAULT.
page 3	SUSPICIOUS.
page 3	CUTTING TRKES.
page 3	TRAFFIC IN WOMEN.
page 3	MORE CHOPPING.
page 3	ARRIVAL OF THE FRENCE MAIL.
page 3	TELEGRAMS.
page 3	China.
page 3	SHANGHAI.
page 3	HANKOW.
page 3	The Straits.
page 3	GUNBOATS.
page 3	LAUNCH OF AN IRONCLAD FOR JAPAN.
page 3	THE ARMY OF THE PORTE.
