page 2	PERHAPS no more important paper has of late been given to the world interested in China than the document written by Mr. Hart, of which, with Mr. Ross. Browne's comments thereupon.
page 3	LOCAL.
page 3	TO-DAY'S POLICE.
page 3	H. R. H. PRINCE, ALFRED IN CANTON.
page 3	ALFRED ERNEST ALBERT,
page 3	AUMMARY JURISDICTION COURT.
page 3	THE ADDRESS FROM THE CHINESE COMMUNITY TO H.R.H. THE DUKE OF DEINBURGH.
page 3	RSPLY OF HIS ROYAL HIGHNESS.
page 3	MR. ROBERT HART, MR. J .ROSS BROWNE,
page 3	AND THE BURLINGAME MISSION.
page 3	MR. R. HART'S NOTE ON MR. BURLINGAME.
page 3	MR. J. R. BROWNE'S REMARKS THEREON.
