page 2	THE correspondence published in our issue of the 19th inst., between the Hongkong General Chamber of Commerce H.B.M.'s Consui at Canton and Mr. Frank W.Watts, with reference to the export of coal from.
page 3	LOSS OF AN AMERICAN SAILING SHIP.
page 3	SPAIN AND THE UNITED STATES.
page 3	SPAIN AND THE UNITED STATES.
page 3	HOSTILITIES COMMENCED.
page 3	SPAIN DISMISSES THE AMERICAN AMBASSADOR.
page 3	CUBA TO BE BLOCKADED.
page 3	MOVEMENTS OF THE FLEET.
page 3	MERCBANT VESSELS IN THE PHILIPPINES.
page 3	THE UNITED STATES NAVY.
page 3	SPANISH PREPARATIONS.
page 3	THE UNITED STATES ARMY.
page 3	RELATIVE FIGHTING STRENGTHS OF THE BELLIGERENTS.
page 3	SPAIN.
page 3	UNITED STATES.
page 3	A STORM IN A TEACUP.
page 3	HOSPITAL FOR CHINESE PLAGUE PATIENTS.
page 3	CLEANSING OF CHINESE HOUSES.
page 3	BRITISH POLICY CRITICISED IN EUROPE.
page 3	THE EXTENSION OF HONGKONG.
page 3	MR. HANOTAUX ON THE SITUATION-'THE SPECTATOR' FORGETTING ITSELF.
page 3	TALKING PEACE AND PREPARING FOR WAR.
page 3	SPELUR BY THE DUKE OF CAMBRIDGE.
page 3	NO FAITH IN SRITISH BLUFF.
page 3	REVENUE OF THE UNITED KINODOM.
page 3	THE YUKON GOLDFIELDS.
page 3	NAVAL EVOLUTIONS AT BREST.
page 3	THE SUGAR BOUNTIES CONFERENCE.
page 3	THE SULTAN OF TURKEY.
page 3	INOREASE IN THE AUSTRIAN NAVY.
page 5	OXFORD AND CAMBRIDGE BOAT RACE.
page 5	CAPE COLONY.
page 5	HEAVY GALE IN BRITAIN.
page 5	THE PROPOSED CAPE CAPE.
