page 2	As we hinted the other day, one o the subjects which must have been engaging the attention of Sir Michael Hicks-Beach when he made room for Lord Kimberley in the Colonial Office.
page 3	ANOTHER PORTUGUESE WAR-VESSEL ORDERED TO MACAO.
page 3	THE MINISTRY: MR. CHAMBERLAIN AND MR. FAWCETT FIND POSTS.
page 3	EARL COWPER APPOINTED LORD LIEUTENANT OF IRELAND.
page 3	DRUNK AND INCAPABLE.
page 3	ROGUES AND VAGABONDS.
page 3	BREACH OF THE OPIUM ORDINANCE.
page 3	IN POSSESSION OF DEADLY WEAPONS.
page 3	SUSPICIOUS CHARACTERS.
page 3	THE U. S. CONSULATE.
page 3	THE MANILA-HONGKONG TELEGRAPH COMPLETED.
page 3	PRINCE HEINRICH IN HONGKONG.
page 3	THE DUKE OF GENOA IN HANKOW.
