page 4	GERMAN PROPAGANDA IN GHINA.
page 5	OBSTINATE BATTLES ON RUSSIAN FRONT.
page 5	GREAT ENEMY FORCES ASSUME THE OFFENSIVE.
page 5	ITALIANS INCESSANTLY ATTACKING.
page 5	THE BALKAN ZONE.
page 5	DEATH OF A NOTED RUMANIAN.
page 5	GERMAN SUBMARINE WARFARE IN THE ATLANTIC.
page 5	WHAT WASHINGTON THINKS.
page 5	THE PROYISIONAL GOYERNMENT IN CRETE.
page 5	FORMALLY RECOGNISED BY THE ENTENTE.
page 5	RECRUITING IN AUSTRALIA.
page 5	THE WESTERN FRONT.
page 5	IMPORTANT GERMAN ATTACK KON SCHWABEN REDOUBT REPULSED.
page 5	MOYING ALONG THE BAPAUME ROAD.
page 5	VIOLENT FIGHTING.
page 5	AN INCIDENT OF THE IRISH REBELLION.
page 5	CONDEMNATION BY A COMMITTEE OF INQUIRY.
page 5	RUMANIANS' POSITION NOT SERIOUS.
page 5	MILLTARY OPINION.
page 5	THE ENTENTE POWERS AND GREECE.
page 5	NEW DEVELOPMENTS.
page 5	GOVERNMENT CIVIL HOSPITAL.
page 5	INTERESTING DISCLOSURES BY THE GOVERNOR.
page 5	THE APPOINTMENT OF A P.C.M.O.
page 5	KEEN JEALOUSY BECAUSE DR. BELL HAD NOT THE POST.
