page 3	FORTUNES IN THE SEA.
page 4	TROUBLE IN CANTON.ADVANTAGES OF A REPUBLIC.
page 6	AMERICAN POLITICS.
page 6	SALE OF RACE PONIES.
page 6	CIVILIEATION.
page 6	THE 1912 DIRECTORY AND CHRONICLE.
page 7	THE MING CRISIS.
page 7	PESSIMISM PREVAILS.
page 7	A STOPPAGE INEVITBLE.
page 7	THE GOVERNMENT AND THE MEN.
page 7	SOUTH WALES OBSTINATE.
page 7	NORTHERNERS DETERMINED.
page 7	THE FIRST RIOT.
page 7	TROUBLE IN AMERICA.
page 7	100,000 NOW OUT.
page 7	FEARS OF DISTURBANCES.
page 7	NEGOTIATING.
page 7	SMALL HOPE.
page 7	PREMIER VISITS KING.
page 7	A STRIKE ANYHOW.
page 7	OWNERS AT VARIANCE.
page 7	THE GOVERNMENT PEOPOSALS.
page 7	MENS MINIMUM DEMAND.
page 7	MORE CONFERENCES.
page 7	FIGBTING IN TRIPOLL.
page 7	CHINO JAPANESE RUPTURE.
page 7	FRANCO-JAPANESE TREATY.
page 7	TROUBLOUS CRETE.
page 7	POWERS TO INCREASE NAVAL FORCES.
page 7	LATE DUKE OF FIFE.
page 7	FUNERAL AT WINDSOR.
page 7	RIOTS IN JAM ICA.
page 7	THE GOVERNOR ASSAULTED.
page 7	THE MEXICAN REBELLION.
page 7	REBELS SEIZE A TOWN.
page 7	REBELS SEIZE A TOWN.
page 7	AMERICA ANNEXES ISLAND.
page 7	CLAIMED BY BRITAIN.
page 7	EFFECT OF BEYROUT BOMBARDMENT.
page 7	REPUBLICAN AMITY.
page 7	THE BISDEY FRICTION. 
page 7	CANADIAN MUISTER'S ADVICE.
page 7	THE TEST MATOH.
page 7	AUSTRALIAS GAME FIGHY
page 7	PORTUGUESE GUN BOAT SUNK.
page 7	COMMANDER AND FIVE OTHERS DROWNED.
page 7	IMPORT NT CRICKET APPOINTMENT.
page 7	EXPULSION OF ITAIIANS.
page 7	SEVEN THOUSAND AFFECTED.
page 7	BRITISH MILITARY AVIATION.
page 7	A MUTINY AND CHINA VERTEN.
