page 2	THE correspondence which we published on Saturday with reference to a direct cable to Singapore, or rather a cable from Hongkong to Singapore not touching foreign territory.
page 3	THE HONGKONG AND KOWLOON WHARF AND GODOWN CO.
page 3	SUPREME COURT.
page 3	IN CRIMINAL SESSIONS.
page 3	THE ARREST OF A PASSENGER ON THE CHANGSHA.
page 3	ACTING CHIEF JUSTICE FIELDING CLARKE GKANTS A DISCHARGE.
page 3	A MATRIMONIAL CASE IN THE SUPREME COURT.
page 3	PEKING.
page 3	KOREA.
page 3	PROGRESS IN FORMOSA.
page 3	THE TRADE OF SOUTH CHINA.
page 4	LATE NEWS BY THE AMERICAN MAIL.
page 4	THE POLICE OUTWITTED BY THE NATIONALISTS.
page 4	A CATHOLIC CONGRESS.
page 4	THE PANAMA CANAL.
page 4	THE CHINESE MINISTER.
page 4	NOTES FROM THE VATICAN.
page 4	THE CZAR AFRAID OF THE NIHILISTS.
page 4	THE LATEST FROM ZANZIBAR.
page 4	BIRTH OF A PRINCE.
page 4	THE PANAMA CANAL.
page 4	PARNELL'S CASE.
page 4	IRISH AFFAIRS.
page 4	PAUNCEFOTE TALKS.
