page 2	THE news telegraphed by Reuter of the successful ending of Nensen's voysge appears to be reliable. It differs greatly from the reports which reached us six months ago, and which were said to.
page 3	RETURN OF DR NANSEN.
page 3	THE RUSSIAN NAVAL MINISTER.
page 3	PRESIDENT OF THE SUEZ CANAL CO.
page 3	SPANISH REVOLUTIONARIES.
page 3	THE CZAR'S VISIT TO FRANCE.
page 3	CRETE.
page 3	THE GOODWOOD CUP.
page 3	SAD DEATH OF A FOOTBALL PLAYER.
page 3	OPIUM DUTY.
page 3	THE SOUDAN.
page 3	ROYAL VISIT TO INDIA.
page 3	RAILWAY DISASTER IN INDIA.
page 3	THE COMMISSION ON INDIAN EXPENDITURE.
page 3	THE SOCIALIST CONGRESS.
page 3	SERIOUS CHOLERA IN MANIPUR.
page 5	THE ECLIPSE OF THE SUN.
page 5	THE LIABILITY OF SHIPOWNERS.
page 5	THE MOBILISATION OF THE FLEET.
page 5	CYCLING IN HEALTH AND DISEASE.
