page 2	THAT the Hou. P. Ryrie, the Senior Unofficial Member of the Legislative Council, should have made an unjustifiable public attack upon the shorthand writers of the press, is a circumstance which is very much to be regretted.
page 3	GARFIELD AGAIN REPORTED BETTER.
page 3	SEVEN NEW PEERS.
page 3	THE BANK REFUSES TO SELL BULLION.
page 3	LARCENY.
page 3	THEFT OF A JACKET &C.
page 3	DRUNK AND DISORDERLY CONDUCT.
page 3	A SLEEPY WATCHMAN.
page 3	LARCENY FROM THE PERSON.
page 3	THEFT OF A PASSAGE TICKET.
page 3	THEFT OF SEVEN JACKETS.
page 3	PIRACY.
