page 2	At the Magistracy to-day, before Commander Hastings, a Chinese contractor, engaged in the conveyance of materia for the con struction of the New Praya Relamation,was charged with tendering a bribe of.
page 3	THE REBELLION IN THE PHILIPFINES.
page 3	RENEWED OUTBREAK.
page 3	THE LANDLINES DESTROYED NEAR BOLINAO.
page 3	NORTHERN PROVINCES IN OPEN REVOLT.
page 3	NATIVES REFUSE TO PAY TAXES.
page 3	RICH HALF-CASTES LEAVING THE ISLANDS.
page 3	A PREDICTION FROM SINGAPORE.
page 3	THE 'EDGAR' ORDERED TO MANILA.
page 3	EUROPEAN TELEGRAPH OPERATOR A PEISONER AT BOLINAO.
page 3	SINGAPORE QUARANTINES HONGKONG.
page 3	PLACUE RIOTS IN BOMBAY.
page 3	THE UNITED STATES.
page 3	RUSSIAN REINFORCEMENTS FOR THE FAR EAST.
page 3	THE NORTH RIVER.
page 3	CANTON NOTES.
page 3	STUDY OF ENGLISH.
page 3	IGNORANCE OF NATIVE NEWSPAPERS.
page 3	THE WATERLOG OUR.
page 3	RINDERPEST.
page 3	A POLD ACCIDENT.
page 3	GERMANY AND CHINA.
page 3	SOUTH AFRICA.
page 3	MUSDER OF AN ARMY OFFICER.
page 3	INDIAN ARMY NEWS.
page 3	THE OFMNING OF CHINA.
page 5	THINGS SLOWLY LEARNED.
page 5	THE GREEN ISLAND GEMENT CO. LIMITED.
page 5	CONSULTING COMMITTEE.
page 5	AUDITONS.
page 5	WEATGER REOIRT.
page 6	NOTIOE TO CONSIGNEES.
page 6	THE PENINSULAR & ORIENTAL STEAM NAVIGATION COMPANY'S STEAMER SUNDA.
page 6	FROM ANTWERP, LONDON, PORT SAID, SUEZ AND STRAITS.
page 6	INDO-CHINA STEAM NAVIGATION COMPANY, LIMITED.
page 6	FROM CALOUTTA, PENANG AND SINGAPORE.
page 6	NOTICE TO. CONSIGNEES.
page 6	THE PENINSULAR & ORIENTAL STEAM NAVIGA TION COMPANY'S STEAMER PESHAWUR.
page 6	FROM BOMBAY AND STRAITS. 
