page 2	SORE time ago a short article appeared in these columns on the practicability of establishing a trade route to south-western China via Maulmein and Zimmg the latter being an important town about 150 miles from the bordern of Yunnan, and 800 miles from Maulmein.
page 3	A STRAGGLER.
page 3	TRESPASS.
page 3	AN INGENIOUS FRAUD.
page 3	A SUSPICIOUS CHARACTER.
page 3	TROUBLESOME BOATMEN.
page 3	ASSAULT.
page 3	DISEASED MEAT.
page 3	THE RIOTS AT BARBADOES.
page 3	OUR NEW ATTORNEY GENERAL.
page 3	EXTRAORDINARY DELUSIONS.
page 3	MOODY AND SANKEY'S HYMNS.
