page 2	IT seems that the veil of mystery which was thrown over the Colonial Surgeon's report for 1875 has not been allowed to extend its folds to the lucubrations and statistics of our official chirurgus for last year.
page 3	THE COLONIAL SURGEON'S REPORT.
page 3	POLICE.
page 3	GOVERNMENT CIVIL HOSPITL.
page 3	TUNG WAH HOSPITAL.
page 3	VICTORIA GAOL.
page 3	LOCK HOSPITAL.
page 3	HEATH OF THE COLONY.
page 3	SANITATION.
page 3	A DISCARDED LOVER.
page 3	A GAMALER'S HAUNT.
page 3	STOLEN GOODS.
page 3	THE UNPROTECTED RESERVOIR.
page 3	DISEASED PORK.
page 3	NUISANCE.
page 3	ASSAULT.
page 3	SUSPECTED OF THEFT.
page 3	THE INSURRECTION IN JAPAN.
