page 2	AN aged boatman who had the misfortune to lose his wife and family in the plague epidemic committed suicide on Thursday by hanging himself to a tree on the Pokfulam Road.
page 3	THE ISLAND OF CHUSAN.
page 3	THE CHINA-JAPAN WAR.
page 3	FURTHER RE-INFORCEMENTS FOR THE BRITISH CHINA SQUADRON.
page 3	CHINA AND HER GENERALS.
page 3	GREAT BRITAIN AND RUSSIA.
page 3	RUSSIAN WARSHIPS IN THE EAST.
page 3	NEEDLESS ALARM AT SINGAPORE.
page 3	THE FIGHT WITH NANA.
page 3	AN EXCITING MOMENT.
page 3	CAPTURK OF A BATTERY.
page 3	MARCHISG OF NANA'S TOWN.
page 3	CURIOUS PROJECTILFS.
page 3	THE DEATH OF THE CZAR.
page 3	CHINA AND JAPAN.
page 3	THE CHINESE NAVY.
page 3	EXTRADITION OF JABEZ BALFOUR.
page 3	THE LYALL COMMITTEE.
page 3	LORDS AND COMMONS.
page 3	CONSULATE BURNED.
page 3	SHOOTING FATALITY.
page 3	FIRE AT GLENALMOND.
page 3	SUICIDE OF AF OFFICER.
