page 2	AT the risk of whipping a dead horse, we must refer to ceriain facts in connection with the Praya Reclamation Ordinance which perhaps are not very widely known. As our readers will doubtless remember.
page 3	TELEGRAMS.
page 3	SUPPLIED TO THE CHINA MAIL.
page 3	RUSSIA AND TURKEY.
page 3	BISMARCK THREATENS TO RESIGN.
page 3	GERMAN CONQUEST IN EAST AFRICA.
page 3	RUSSIA ARMING.
page 3	A DESTRUCTIVE FIRE.
page 3	FRAGRANT WATERS MURMUR.
page 3	HONGKONG AND SHANGHAI BANKING CORPORATION.
page 3	G. FENWICK AND CO., LIMITED.
page 3	CHINA'S DEFENCES AND RAILWAYS.
page 3	LATE TELEGRAMS.
page 3	DANGEROUS ELECTRIC WIRES.
page 3	A MUNIFICRNT GIFT.
page 3	FRANCE AND ENGLAND.
page 3	DRAGOCKING AFRICANS.
page 3	TALMAGE IN PARIS TALKS ABOUT HIS VISIT TO THE HOLY LAND.
page 3	MAKING A SAINT-PROPOSED HONORS TO JOAN OF ABC.
page 4	THE BARD'S FAREWELL.
page 4	LIU YUEH FANG, OR. A TRIP TO THE MOON.
page 4	A CHINESE STORY.
