page 2	ONE or two correspondents have revently drawn attention to the increase in the number of beggars to be encountered in the streets of the Colony. Considering the position of the island and the character of its population.
page 3	Police Intelligence.
page 3	FOND OF PIE.
page 3	DRUNKENNESS.
page 3	DISEASED PIG.
page 3	LARCENY.
page 3	THROWING STONES.
page 3	BEGGARS.
page 3	GAMBLING.
page 3	SELLING FISH.
page 3	Canton.
page 3	SERIOUS DISTURBANCES.
page 3	INQUEST.
page 3	POISONING STRANGE CASE.
page 3	THE FAMINE IN THE NORTH.
page 3	Miscellaneous.
