page 2	THE telegram announcing a defeat of the Afghans by the Russian forces near Penjdeh conveys one of the most serious items of news which has been received for many a day. It may be said that such news was expected, and that even.
page 3	RUSSIA AND AFGHANISTAN.
page 3	War Immineat between Russia and England.
page 3	The Evacuation of Tonquiu, Formosa and the Poscadores.
page 3	THE S.S. 'ZAFIRO' ASHORE.
page 3	The British, French and Russian Squadrons in the China Seas.
page 3	I. O. G. T. MEETING.
page 3	AN ANGLO-CHINESE ALLIANCE A BOON TO THE WORLD.
page 3	Foochow.
page 3	Swatow.
page 3	FRANCE AND ENGLAND.
page 3	IS PENJ-DEH IN AFGHANISTAN?
page 3	CHINESE IN THE SCHOOLS.
