page 2	The French Government have agreed to pay an indemnity to Mr Shaw of 60,000 francs and to express regret to the British Government.
page 3	DRUNK AND INCAPABLE.
page 3	OBSTRUCTIONISTS.
page 3	EAR-RING SNATCHING.
page 3	CUFTTING AND WOUNDING.
page 3	DRUNK AND DISORDERLY ON BOARD SHIP.
page 3	ASSAULT.
page 3	A LOTTERY AGENCY BROKEN UP.
page 3	THE DEMONSTRATION AAT WATERFORD.
page 3	DEVELOPMENTS IN THE DYNAMITS CASE.
page 3	THE CHINESE RESTRICTION LAW.
page 3	A SPEOK OF TROCBLE.
page 3	THE DONNELL DEMONSTRAAATION SPOILED.
page 3	SPREAD OF THE CAATTLE DISEASE.
