page 4	CHINESE CHRISTIANS AND THE NEW REGIME.
page 6	THE SUPPLEMENTARY NAVAL ESTIMATES.
page 6	LIGHT RAILWAY PROJECTS IN BELGIUM AND ENGLAND.
page 6	ANOTHER TYPHOON WARNING.
page 6	THE ALLEGED EMBEZZLEMENT CASE.
page 6	Case Against American ReOpened.
page 6	THE POKFULUM ROAD MURDER CASE.
page 7	GREAT BRITAIN AND THE PANAMA CANAL.
page 7	FORMAL NOTE PRESENTED.
page 7	AUSTRALIAN SUPPORT.
page 7	THE SUPPLEMENTARY NAVAL ESTIMATES.
page 7	800,000 POUNDS FOR CONSTRUCTION M, CHINE Y, GUNS AND AMMUNITION.
page 7	ANOTHER SUFFRAGETT ASSAULT.
page 7	RUSSIA AND JAPAN.
page 7	REPORTED ALUIANCE DENIED AT TOKYO.
page 7	ANOTHER DENIAL.
page 7	AUSTRALIAN PARLIAMENTARY ELOQUENCE.
page 7	TURKISH POLITICS.
page 7	A COMPLICATED SITUATION.
page 7	PEACE MISSION TO BE DISATCHED.
page 7	THE LONDON STRIKE.
page 7	NEGOTIATIONS BROKEN OFF.
page 7	COMMITTEE APPEAL TO AUSTRALIA.
page 7	THE CHAMBERLAIN "SHILLING FUND."
page 7	MR CHAMBERLAIN'S ACKNOWLEGMENTS.
page 7	THE SOUTH AFRICAN MAIL CONTRACTS.
page 7	DEFINITE SETTLEMENT ARRIVED AT.
page 7	THE "PERISA". RESUMES HER VOYAGE.
