page 2	It will be a good while yet before we shall know exactly why we went to war in South Africa. Not that we do not know something about the matter now, but we are liable to know so many things that are not.
page 3	THE WAR.
page 3	SHIPMENT OF TREASURE FROM THE TRANSVAAL.
page 3	THE JAPANESE PRINCE IN EUROPE.
page 3	ACCIDENT AT THE PARIS EXHIBITION.
page 3	MANILA NOTES.
page 3	MR LOUIS SPITZEL ACQUITTED OF AN ABSURD CHARGE.
page 3	A POSIBLE GROUND FOR DAMAGES.
page 3	THE WAR.
page 3	General Cronje at St. Helena.
page 3	Boer Treatment of Prisoners.
page 3	The Boer Crusade on the Continent.
page 3	General Gatacre's Recall.
page 3	Buller Surprised at Elandslaagte.
page 3	Attempted Escape of a Boer Commandant.
page 3	The Spionkop Failure.
