page 2	The old-year is dying. Within a few hours we will have parted from 1894, and will have entered upon 1895. It is fitting that we should cast a retrospective glance over the prominent features or events of the.
page 3	TAIPINGSHAN RESUMPTION ARBITRATION BOARD.
page 3	THE CHINA-JAPAN WAR.
page 3	RUSSIA.
page 3	THE CHINA-JAPAN WAR.
page 3	THE DEFENCE OF THE YANG TSZ VALLEY.
page 3	OPENING OF THE JAPANESE DIET.
page 3	EUROPEAN DRILL INSTRUCTORS FOR THE YANGTZE.
page 3	THE ENVOYS OF PEACE.
page 3	BRIGG ELECTION.
page 3	THE ARMENIAN QUESTION.
page 3	FRANCE AND MADAGASCAR.
page 3	TRAGZDY AT WINDSOR CASTLE, -- DEATH OF THE CANADIAN PREMIER.
page 3	AMERICAN CURRENCY REFORM.
page 3	SOCIALISTS IN GERMANY.
page 3	THE FRENCH WAR MINISTER.
page 3	THE TIBET FRONTIER.
page 3	THE N. W. FRONTIER.
page 3	THE POLICY OF GOVERNMENT.
page 3	THE RUSSIAN LOAN.
page 3	THE NEW TRIPLE ALLIANCE.
