page 2	ANOTHER week has passed, a period of two months has elapsed since the horrible massacre at Kiting and still there is no sign of adequate redress or atonement being extorted from the Chinese.
page 4	OBITUARY.
page 4	THE ARMENIAN QUESTION -- A DEMONSTRATION.
page 4	BRITISH DEMANDS REFUSED.
page 4	THE JAPANESE SUPPLEMENTARY TREATY.
page 4	ABANDONMENT OF PROPOSED TAXATION OF FOREIGN OPIUM.
page 4	THE ANTI CHRISTIAN RIOTING AT HING WHA.
page 4	THE MOVEMENT OF THE BRITISH FLEET.
page 4	THE FLEET UP THE YANGTZE.
page 4	A JAPANESE RUMOUR.
page 4	THE EXECUTIONS AT KUCHENG.
page 4	JAPANESE SOLDIERS AND COOLIES IN FORMOSA.
page 4	OVERBARING CONDUCT.
page 4	THE UNITED STATES CONSUL AT FOOCHOW.
page 4	THE MAHOMMEDAN REBELLION.
