page 2	A correspondent writing from Peking says that the Chinese capital has become the field for considerable diplomatic rivalry, the representatives of France, England, Germany, and Russia, all apparently striving for supremacy.
page 3	PIC-NICKING.
page 3	STEALING EARRINGS.
page 3	LARCENY FROM A DWELLING.
page 3	TO-DAY'S FINES.
page 3	MURDER OF MR C. H. LLOYD, SUPERINTENDENT OF THE DINDINGS.
page 3	AUSTRALIAN NEWS.
page 3	PORT DARWIN.
page 3	CHINESE FAMILY LIFE.
page 3	ERICSSON'S TORPEDO.
page 3	THE LATE RING OF BURMAR.
