page 2	SOME time since it was announced that our new Governer, Sir Henry Blake, incended to leave England for Hongkong on or about the Ist of May this year, and that he would arrive here in the first week of June. We.
page 3	IN THE BELEAGUERED CITY OF MANILA.
page 3	A SPANISH VIEW OF COMMODORE DEWEY'S STRATEGY.
page 3	RUNNING THE BLOCKADE.
page 3	AMERICAN ORDERS TO THE ESMERALDA.
page 3	'WANTED A CONSUL.'
page 3	THE POSITION OF THE BRITISH RESIDENTS.
page 3	PRECAUTIONS FOR THEIR SAFETY EEGLISHMEN INSULTED BY SPANISH OFFICERS.
page 3	AMPLE APOLOGY BY THE CAPTAIN GENERAL.
page 3	LATEST NEWS FROM THE U. S. FLEET.
page 3	CAPTURE OF A SPANISH GUNBOAT AT MANILA.
page 3	THE REBEIS AT CAVITE.
page 3	THE PHILIPINOS AND THE UNITED STATES.
page 3	THE AMERICAN-SPANISH WAR.
page 3	SALE OF RACER GALTEE-MORE.
page 3	THE GARRISON OF WEI-HAI-WEI.
page 3	EVACUATION OF WEI-HAI-WEI.
page 3	LARGE SEIZURE OF SPIRITS.
page 3	ALLEGED ILLICIT DISTILLERY.
