page 2	HONGKONG is seriously threatened with two evils during the next six months fire and water, of rather want of water. The Water Authority might usefully be called on to present a return.
page 3	THE CONSTANTINOPLE RIOTS.
page 3	THE BRITISH ULTIMATUM TO CHINA.
page 3	THE DISTURBANCES NEAR SWATOW.
page 3	THE SITUATION IN SOUTH FORMOSA.
page 3	THE ATTACK ON TAIWANFOO.
page 3	FORMOSA REPUBLIC STAMPS.
page 3	WARNINGS TO COLLECTORS.
page 3	THE KUCHENG MASSACRE.
page 3	MORE STATEMENTS BY MURDERERS.
page 3	THE DUPLICITY OF THE OFFICIALS.
page 3	THE BRITISH CONSUL INSULTED.
page 3	THE DOUBLE DEALING TAOTAI.
page 3	FOREIGN GOVERNMENTS CXRITICISED.
page 3	THE LATEST NEWS.
page 3	LATE TELEGRAMS.
page 3	IRISH TREASONABLE MEETING IN CHICAGO.
page 3	FRANCE AND MADAGASDCAR.
page 3	FAREWELL OF THE DUKE OF CAMBRIDGE.
page 3	THE FIGHTING IN CUBA.
page 3	THE STATE OF AFFAIRS AT GOA.
page 3	MOROCCO AND THE FEZ VICE CONSULATE.
page 3	SUCCESS OF THE ABCTIC RELIEF EXPEDITION.
page 3	A GERMAN REGIMENT IN A RAILWAY COLLISION: SIXTEEN SOLDIERS KILLED.
page 3	A GARISALDI MONUMENT UNVEILED: SPEECH BY COUNT CRISPI.
page 3	DISCONTENT LN A NATIVE INDIAN BEGIMENT.
page 3	DEATH OF MISS CALDECOTT.
page 3	THE PRINCE OF WALES.
page 3	BALLOON FATALITY.
page 3	FAST BAILWAY TRAVELLING IN AMERICA.
page 3	COAL MINING IN VICTORIA.
page 3	GREAT JEWEL ROBBERIES IN LONDON.
page 3	GUNPOWDER EXPLOSION IN KENTUCKY.
page 3	THE ANARCHIST PLOT IN PARIS.
page 3	THE EXECUTION OF MR STOHES.
page 3	THE FRENCH IN MADAGASCAR AND AFRICA.
page 3	THE HAWIIAN BEPUBLIC.
page 3	MINING DISASTER IN AMERICA.
page 3	LORD WODEHOUSE.
page 3	LADY GUNNING CONVICTED OF FOBGERY.
page 3	THE PORTUGUESE AT LORENZO MARQUES.
page 3	CATASTROPIIE IN SWITZERLAND.
page 3	COSTA RICA PACKET CASE.
page 3	FRANCE AND THE UNITED STATES.
page 3	IMPERIAL DEFIANCE. -- PROPOSED COLONIAL CONTRIBUTIONS.
page 3	A ROYAL BETROTHAL.
page 3	COLLAPSE OF A PIER.
page 3	PAPAL INFALLIBILITY.
page 3	SCVLLING IN ENGLAND.
page 3	ARCTIC EXPLORATION.
page 3	ENGLISH CRICKET.
